model,run,tag,step,value
LSTM,lstm-v2,train/loss,15200,3.4530601501464844
LSTM,lstm-v2,train/loss,15300,3.31673526763916
LSTM,lstm-v2,train/loss,15400,3.1178386211395264
LSTM,lstm-v2,train/loss,15500,3.434746265411377
LSTM,lstm-v2,train/loss,15600,3.5916624069213867
LSTM,lstm-v2,train/loss,15700,3.170952081680298
LSTM,lstm-v2,train/loss,15800,3.1810240745544434
LSTM,lstm-v2,train/loss,15900,3.3986191749572754
LSTM,lstm-v2,train/loss,16000,3.2654900550842285
LSTM,lstm-v2,train/loss,16100,3.4362964630126953
LSTM,lstm-v2,train/loss,16200,3.347425699234009
LSTM,lstm-v2,train/loss,16300,3.1592724323272705
LSTM,lstm-v2,train/loss,16400,3.517025947570801
LSTM,lstm-v2,train/loss,16500,3.2894532680511475
LSTM,lstm-v2,train/loss,16600,3.299978733062744
LSTM,lstm-v2,train/loss,16700,3.306657314300537
LSTM,lstm-v2,train/loss,16800,3.3269331455230713
LSTM,lstm-v2,train/loss,16900,3.2878737449645996
LSTM,lstm-v2,train/loss,17000,3.2137112617492676
LSTM,lstm-v2,train/loss,17100,3.3210463523864746
LSTM,lstm-v2,train/loss,17200,3.5405635833740234
LSTM,lstm-v2,train/loss,17300,3.256631374359131
LSTM,lstm-v2,train/loss,17400,3.319946050643921
LSTM,lstm-v2,train/loss,17500,3.3727774620056152
LSTM,lstm-v2,train/loss,17600,3.4061217308044434
LSTM,lstm-v2,train/loss,17700,3.1061644554138184
LSTM,lstm-v2,train/loss,17800,3.297677993774414
LSTM,lstm-v2,train/loss,17900,3.083925724029541
LSTM,lstm-v2,train/loss,18000,3.337583541870117
LSTM,lstm-v2,train/loss,18100,3.351316213607788
LSTM,lstm-v2,train/loss,18200,3.2322542667388916
LSTM,lstm-v2,train/loss,18300,3.3380939960479736
LSTM,lstm-v2,train/loss,18400,3.226741313934326
LSTM,lstm-v2,train/loss,18500,3.236790657043457
LSTM,lstm-v2,train/loss,18600,3.2104930877685547
LSTM,lstm-v2,train/loss,18700,3.051802635192871
LSTM,lstm-v2,train/loss,18800,3.200169563293457
LSTM,lstm-v2,train/loss,18900,3.320793867111206
LSTM,lstm-v2,train/loss,19000,3.0844414234161377
LSTM,lstm-v2,train/loss,19100,3.2247495651245117
LSTM,lstm-v2,train/loss,19200,3.2271628379821777
LSTM,lstm-v2,train/loss,19300,3.2741641998291016
LSTM,lstm-v2,train/loss,19400,3.3300983905792236
LSTM,lstm-v2,train/loss,19500,3.251197338104248
LSTM,lstm-v2,train/loss,19600,3.1993460655212402
LSTM,lstm-v2,train/loss,19700,2.975377321243286
LSTM,lstm-v2,train/loss,19800,3.1177921295166016
